year,model,state,y_log,pred_log,cases
2018,Gradient boosting (multi-modal),ANDHRA PRADESH,8.297045149081827,8.45184054537337,4011
2018,Gradient boosting (multi-modal),ARUNACHAL PRADESH,0.6931471805599453,2.0851333665350613,1
2018,Gradient boosting (multi-modal),ASSAM,5.117993812416755,9.269128421271304,166
2018,Gradient boosting (multi-modal),BIHAR,7.669961995473577,7.57063784731777,2142
2018,Gradient boosting (multi-modal),CHANDIGARH,5.71042701737487,7.114727660851861,301
2018,Gradient boosting (multi-modal),CHHATTISGARH,7.891704659330107,6.4341066927482595,2674
2018,Gradient boosting (multi-modal),DADRA AND NAGAR HAVELI,6.202535517187923,7.572569669192467,493
2018,Gradient boosting (multi-modal),DAMAN AND DIU,5.099866427824199,4.570178260716723,163
2018,Gradient boosting (multi-modal),DELHI,8.873047798971067,8.892398358519621,7136
2018,Gradient boosting (multi-modal),GOA,5.817111159963204,5.173451586732124,335
2018,Gradient boosting (multi-modal),GUJARAT,8.933268478636418,8.844281409623813,7579
2018,Gradient boosting (multi-modal),HARYANA,7.549082710812286,8.387707633007782,1898
2018,Gradient boosting (multi-modal),HIMACHAL PRADESH,8.449556542700426,6.695087448946548,4672
2018,Gradient boosting (multi-modal),JAMMU AND KASHMIR,5.3706380281276624,7.074536584305001,214
2018,Gradient boosting (multi-modal),JHARKHAND,6.139884552226255,6.87085139716856,463
2018,Gradient boosting (multi-modal),KARNATAKA,8.395703293828527,9.246113054178108,4427
2018,Gradient boosting (multi-modal),KERALA,8.314832179284556,9.66700978264453,4083
2018,Gradient boosting (multi-modal),LAKSHADWEEP,0.0,0.023487353536748072,0
2018,Gradient boosting (multi-modal),MADHYA PRADESH,8.413387022690648,8.1404070737914,4506
2018,Gradient boosting (multi-modal),MAHARASHTRA,9.306740866262498,8.928095166229452,11011
2018,Gradient boosting (multi-modal),MANIPUR,2.70805020110221,5.346405540270817,14
2018,Gradient boosting (multi-modal),MEGHALAYA,3.8066624897703196,5.362415662699078,44
2018,Gradient boosting (multi-modal),MIZORAM,4.23410650459726,4.3606500526038845,68
2018,Gradient boosting (multi-modal),NAGALAND,5.91350300563827,6.402933482121777,369
2018,Gradient boosting (multi-modal),ODISHA,8.556221578383715,9.087413219688381,5198
2018,Gradient boosting (multi-modal),PUDUCHERRY,6.385194398997726,8.805114010815728,592
2018,Gradient boosting (multi-modal),PUNJAB,9.614538010517382,9.448944891252808,14980
2018,Gradient boosting (multi-modal),RAJASTHAN,9.168267595554275,8.806788934988406,9587
