state,year,cases,health_index_2019_20,gdp_pc,seci_score,pop_2011,urban_pct_2011,density_2011,incidence_per_100k
MANIPUR,2017,193,53.68,111853.0,36.0,2570390.0,30.21,122.0,7.508588190897101
MANIPUR,2018,14,53.68,111853.0,36.0,2570390.0,30.21,122.0,0.5446644283552301
MANIPUR,2019,359,53.68,111853.0,36.0,2570390.0,30.21,122.0,13.966752127109116
MANIPUR,2020,37,53.68,111853.0,36.0,2570390.0,30.21,122.0,1.4394702749388224
MANIPUR,2021,203,53.68,111853.0,36.0,2570390.0,30.21,122.0,7.897634211150836
MANIPUR,2022,503,53.68,111853.0,36.0,2570390.0,30.21,122.0,19.56901481876291
MANIPUR,2023,2548,53.68,111853.0,36.0,2570390.0,30.21,122.0,99.12892596065188
MANIPUR,2024,2463,53.68,111853.0,36.0,2570390.0,30.21,122.0,95.82203478849513
MEGHALAYA,2015,13,43.05,123896.0,29.4,2966889.0,20.07,132.0,0.4381694091015875
MEGHALAYA,2016,172,43.05,123896.0,29.4,2966889.0,20.07,132.0,5.7973183358056195
MEGHALAYA,2017,52,43.05,123896.0,29.4,2966889.0,20.07,132.0,1.75267763640635
MEGHALAYA,2018,44,43.05,123896.0,29.4,2966889.0,20.07,132.0,1.4830349231130655
MEGHALAYA,2019,82,43.05,123896.0,29.4,2966889.0,20.07,132.0,2.7638378112561677
MEGHALAYA,2020,4,43.05,123896.0,29.4,2966889.0,20.07,132.0,0.13482135664664233
MEGHALAYA,2021,129,43.05,123896.0,29.4,2966889.0,20.07,132.0,4.347988751854214
MEGHALAYA,2022,26,43.05,123896.0,29.4,2966889.0,20.07,132.0,0.876338818203175
MEGHALAYA,2023,114,43.05,123896.0,29.4,2966889.0,20.07,132.0,3.842408664429306
MEGHALAYA,2024,74,43.05,123896.0,29.4,2966889.0,20.07,132.0,2.494195097962883
MIZORAM,2015,43,70.16,215144.0,35.9,1097206.0,52.11,52.0,3.9190452841125545
MIZORAM,2016,580,70.16,215144.0,35.9,1097206.0,52.11,52.0,52.86154104151818
MIZORAM,2017,136,70.16,215144.0,35.9,1097206.0,52.11,52.0,12.395119968355987
MIZORAM,2018,68,70.16,215144.0,35.9,1097206.0,52.11,52.0,6.197559984177993
MIZORAM,2019,42,70.16,215144.0,35.9,1097206.0,52.11,52.0,3.827904696109937
MIZORAM,2020,67,70.16,215144.0,35.9,1097206.0,52.11,52.0,6.106419396175376
MIZORAM,2021,83,70.16,215144.0,35.9,1097206.0,52.11,52.0,7.5646688042172565
MIZORAM,2022,1868,70.16,215144.0,35.9,1097206.0,52.11,52.0,170.2506183888896
MIZORAM,2023,2060,70.16,215144.0,35.9,1097206.0,52.11,52.0,187.74961128539215
MIZORAM,2024,744,70.16,215144.0,35.9,1097206.0,52.11,52.0,67.80859747394746
